product_id,barcode,product_name,type,purchase_price,selling_price,selling_wcard
4492,10003087,Haki Mont,Mont,35.0,69.99,74.99
4493,10003103,Cepli Salaş ,Kazak,12.0,24.99,27.5
4494,10003104,V Yaka Salaş ,Kazak,8.0,24.99,27.5
4495,10003105,V Yaka Fitilli Basic,Kazak,10.0,24.99,27.5
4496,10003106,Hırka,Hırka,15.0,34.99,39.99
4497,10003107,4 Cep Gömlek-ceket,Gömlek,25.0,49.99,54.99
4498,10003108,203 Cizgili Baglamalı Bluz,Bluz,16.0,34.99,39.99
4499,10002079,Monchler Parlak şişme,Mont,48.6,74.9,79.9
4500,10001906,şışME MONT,Mont,32.0,54.99,59.99
4501,10003067,206 ıp Baglamalı Body,Body,9.0,19.99,22.99
4502,10003012,Bomber Ceket,Ceket,25.0,49.99,54.99
4503,10003109,Czb 7080 Kalpli Trıko ,Kazak,18.0,34.99,39.99
4504,10003110,Czb 5178 Cizgili Gömlek,Gömlek,23.0,44.99,49.99
4505,10003111,Czb 0277 Ponponlu Kazak,Kazak,25.0,49.99,54.99
4506,10003101,0325 V YAKA SALAş,Kazak,17.0,34.99,39.99
4507,10003112,Czb 9874 Bomber Ceket,Ceket,22.0,44.99,49.99
4508,10003113,Czb 0280 Degraje Kazak,Kazak,20.0,39.99,44.99
4509,10003114,Czb 0281 Ceplı Trıko,Kazak,20.0,39.99,44.99
4510,10002105,Hepyek Yuksek Bel Sıyah,Kot Pantolon,22.0,44.99,49.99
4511,10003056,Füme Yuksek Bel Kot,Kot Pantolon,23.0,44.99,49.99
4512,10002105,Hepyek Yuksek Bel Sıyah,Kot Pantolon,22.0,44.99,49.99
4513,10002692,Asit Yıkama Yuksek Bel ,Kot Pantolon,23.0,44.99,49.99
4514,10003088,832- Güllü Sweat,Sweat,13.0,27.99,29.99
4515,10003115,210 Cicekli Ceket,Ceket,27.0,54.99,59.99
4516,10003116,215 Altı Dantel Bluz,Bluz,17.0,34.99,39.99
4517,10003117,236 Etnik Bluz,Bluz,17.0,34.99,0.0
4518,10003118,221 Payetli Sweat,Sweat,20.0,39.99,44.99
4519,10003010,Önü Taşlı Sweat,Sweat,16.0,34.99,39.99
4520,10003119,232 Cızgılı Bluz,Bluz,14.0,34.99,39.99
4521,10003120,Bomber Ceket,Ceket,27.0,54.99,59.99
4522,10003121,Zımbalı Ceket,Ceket,20.0,39.99,44.99
4523,10003122,225 Nakıslı Gömlek,Gömlek,22.0,44.99,49.99
4524,10003123,Nakıslı Bluz 196,Bluz,20.0,39.99,44.99
4525,10003117,236 Etnik Bluz,Bluz,17.0,34.99,39.99
4526,10003105,V Yaka Fitilli Basic,Kazak,10.0,24.99,27.5
4527,10003124,Boğazlı Kazak,Kazak,8.0,19.99,22.5
4528,10003124,Boğazlı Kazak,Kazak,8.0,19.99,22.5
4529,10003125,Hırka,Hırka,14.0,29.99,34.99
4530,10003105,V Yaka Fitilli Basic,Kazak,10.0,24.99,27.5
4531,10003126,2441 Uzun Ceket-mont,Ceket,27.0,59.99,64.99
4532,10003127,2143 Gömlek Bluz,Bluz,15.0,29.99,34.99
4533,10003128,Yelek,Yelek,15.0,34.99,39.99
4534,10003130,4747 Nakışlı Buz,Bluz,17.0,34.99,39.99
4535,10003131,1042 Simli V Yaka,Kazak,17.0,34.99,39.99
4536,10003132,4737 Sweat,Sweat,17.0,34.99,39.99
4537,10003133,4831 Fermuarlı Sweat,Sweat,11.0,24.99,27.5
4538,10003134,5682 Newyork Tunik Kapşonlu,Sweat,14.0,29.99,34.99
4539,10003135,5688 Feel So Good Kısa Kapşonlu,Sweat,11.0,24.99,27.5
4540,10003136,5706 Kadife Kısa Bluz,Bluz,10.0,19.99,22.5
4541,10003137,5717 Önü ıpli Kaşkorse Elbise,Elbise,14.0,29.99,34.99
4542,10003138,30082 Deri Etek,Etek,25.0,49.99,54.99
4543,10003139,30062 Kalem Etek,Etek,22.0,44.99,49.99
4544,10003140,10140 Kısa Sweat Body,Body,15.0,29.99,34.99
4545,10003141,10004 Bluz,Bluz,19.0,39.99,44.99
4546,10003142,10135 Deri Büstiyer,Büstiyer,20.0,39.99,44.99
4547,10003143,Leopar Bomber Ceket,Ceket,17.0,39.99,44.99
4548,10003144,Armalı Gömlek,Gömlek,20.0,44.99,49.99
4549,10003145,Gömlek Nakışlı,Gömlek,15.0,34.99,39.99
4550,10003146,Ekose Sweath,Sweat,13.0,29.99,34.99
4551,10003147,103 Sweat,Sweat,13.0,27.99,29.99
4552,10003147,103 Sweat,Sweat,13.0,27.99,29.99
4553,10003144,nakışlı gömlek,Gömlek,20.0,49.99,54.99
4554,10003145,Gömlek ,Gömlek,15.0,34.99,39.99
4555,10003143,Leopar Bomber Ceket,Ceket,17.0,54.99,59.99
4556,10003143,Leopar Bomber Ceket,Ceket,17.0,54.99,59.99
4557,10003149,1050 Yanı Bağcık Sweat,Sweat,13.0,24.99,27.5
4558,10003149,1050 Yanı Bağcık Sweat,Sweat,13.0,24.99,27.5
4559,10003150,1060 Yelek,Yelek,10.0,34.99,39.99
4560,10003151,Dantelli Sweat,Sweat,17.0,34.99,39.99
4561,10003152,1089 Mont,Mont,38.0,74.99,79.99
4562,10003153,1385 Kısa Düz Gömlek,Gömlek,23.0,44.99,49.99
4563,10003154,1108 Boyfriend,Gömlek,23.0,44.99,49.99
4564,10003088,832- Güllü Sweat,Sweat,13.0,27.99,29.99
4565,10003117,236 Etnik Bluz,Bluz,17.0,34.99,39.99
4566,10003067,206 ıp Baglamalı Body,Body,9.0,19.99,22.99
4567,10003155,256 Omuz Açık Body,Body,9.0,19.99,22.5
4568,10003156,237 Dantelli Bluz,Bluz,18.0,34.99,39.99
